1.1,1.2,2.1,2.2,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2
TACSTD2,VIM,KRT18,GNG11,CDH5,SEZ6L2,ALDH3A1,SPINK6,LDB2,VSIG2,IGFBP3,SLC2A3,MSLN,RPL13,S100A1
CLDN3,IFI27,WFDC2,RAMP2,SOCS2,RHOBTB3,EIF4EBP1,LINC01133,C2CD4B,OBP2A,FBLN2,NEAT1,ALDH1A2,RPS18,SPINT1
CLDN4,IGFBP7,CLDN4,HSPA1A,NOTCH4,AGR3,AKR1C2,CSTA,ACKR1,OBP2B,FBLN5,KLF4,KRT19,RPL41,CD24
S100A1,RAMP2,KRT8,A2M,MEF2C,SFTA2,LY6E,IMPA2,GIMAP1,LINC01186,FBLIM1,SOCS3,UPK3B,RPS19,KLK8
WFDC2,TIMP3,TACSTD2,KLF2,ENPP2,NKX2-1,S100A14,AREG,RAMP3,CXCL1,MGP,GADD45B,CALB2,RPLP1,CLDN7
MUC1,CD74,SLPI,IFI27,FBLN2,SFTPB,AKR1C1,IL20RB,CLDN5,SLC45A1,SRP14,TMSB4X,RARRES2,RPL13A,WFDC2
ELF3,HLA-DPA1,ANXA1,TIMP3,HDAC5,KRT7,FTL,CD24,IL6,S100A1,CLDN5,IGFBP7,SBSPON,RPS4X,S100A14
MLF1,MGP,KRT19,IGFBP4,TMEM47,FOLR1,KRT15,RHOD,ARC,LONRF2,FN1,JUNB,C3,RPLP2,MUC1
SMIM22,FN1,FOLR1,EGFL7,FBXO25,SLC34A2,SYT8,MYL12B,TM4SF1,CLDN4,TSPAN2,EIF1,SPINT2,RPL26,MAL2
KLK8,HLA-DRA,GSTP1,UBB,FN1,TMPRSS2,MT-CO3,MYL12A,GIMAP4,CFAP43,RAMP2,JUN,CLDN15,MT-CO1,VAMP8
SDC4,DUSP1,CLDN3,CLDN5,NPRL3,TCIM,MT-CO2,MT2A,CCL2,MIR202HG,DEPP1,ZFP36,CPB1,RPL8,CRABP2
KLK6,NNMT,ELF3,ID1,TGFBR3,NAPSA,GSTP1,ARPC1B,FOXC1,GLIS3,LGALS1,CD74,KLK11,RPS14,SLPI
