"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-CO3",0,0.914777625459436,1,1,0,"0","MT-CO3"
"MT-ND1",0,0.894997270064509,0.997,1,0,"0","MT-ND1"
"MT-ND2",0,0.876574156328818,0.996,0.998,0,"0","MT-ND2"
"MT-ND3",0,0.87033678914771,0.998,0.999,0,"0","MT-ND3"
"MT-ATP6",0,0.839112963001872,1,1,0,"0","MT-ATP6"
"MT-CYB",0,0.7718136277459,0.997,1,0,"0","MT-CYB"
"MT-CO2",0,0.732077017524943,1,1,0,"0","MT-CO2"
"MT-ND4",0,0.726069753845491,1,1,0,"0","MT-ND4"
"MT-CO1",9.46073998636286e-216,0.69981228020629,0.999,1,3.17294297662638e-211,"0","MT-CO1"
"MALAT1",2.25212224445801e-207,0.784093572660648,0.941,0.964,7.55316758346326e-203,"0","MALAT1"
"RPL39",5.91354620459247e-170,0.464609233214807,0.972,0.993,1.98328512609622e-165,"0","RPL39"
"RPS18",1.66638607441525e-91,0.326754049811704,0.993,0.998,5.58872561637388e-87,"0","RPS18"
"S100A6",1.07628594088339e-90,0.815183016160081,0.951,0.988,3.6096477885347e-86,"0","S100A6"
"RPLP0",4.9244946361833e-87,0.344598850588611,0.971,0.991,1.65157701108315e-82,"0","RPLP0"
"RPL37",1.98224415116974e-84,0.313915224562946,0.981,0.996,6.64805043419306e-80,"0","RPL37"
"MT-ND5",1.00061951814727e-74,0.597558320007883,0.776,0.905,3.3558777399623e-70,"0","MT-ND5"
"RPS14",6.95407287694917e-72,0.300655532127108,0.976,0.996,2.33225696147121e-67,"0","RPS14"
"RPL30",1.17812026399262e-62,0.255154559864484,0.974,0.995,3.95117974137845e-58,"0","RPL30"
"RPL6",5.10125551018999e-61,0.284732378891009,0.932,0.985,1.71085907300752e-56,"0","RPL6"
"GAPDH",1.23424492864161e-60,0.349405069673576,0.951,0.986,4.13941064167823e-56,"0","GAPDH"
"RPS28",1.96744347931457e-59,0.259187191131228,0.986,0.998,6.5984119409252e-55,"0","RPS28"
"RPL36",1.48994697965818e-58,0.283411357418415,0.978,0.994,4.99698418037759e-54,"0","RPL36"
"RPS24",2.70008334241817e-54,0.267704498748256,0.945,0.988,9.05553951380207e-50,"0","RPS24"
"RPL38",7.80134542720351e-51,0.277019746825585,0.93,0.984,2.61641522937551e-46,"0","RPL38"
"CLU",1.17858738175168e-46,0.435619999416995,0.824,0.875,3.95274636091879e-42,"0","CLU"
"CD24",1.45313924153824e-46,0.473703029664593,0.707,0.688,4.87353838827096e-42,"0","CD24"
"LCN2",2.15040365049826e-46,0.694878140427141,0.513,0.45,7.21202376304105e-42,"0","LCN2"
"RPS29",2.72515561545691e-45,0.309963385061369,0.973,0.995,9.13962690311939e-41,"0","RPS29"
"C19orf33",6.19498792098063e-40,0.68111898372397,0.604,0.634,2.07767504893848e-35,"0","C19orf33"
"GSTP1",1.20612578254163e-39,0.342469386858631,0.835,0.942,4.04510464948813e-35,"0","GSTP1"
"SOD2",5.9166619628806e-38,0.29706716645079,0.262,0.485,1.9843300891109e-33,"0","SOD2"
"KRT18",1.48332356441861e-31,0.467025181466663,0.696,0.744,4.97477057034715e-27,"0","KRT18"
"C3",2.28884409528773e-31,0.290796438573822,0.748,0.857,7.67632532677597e-27,"0","C3"
"HIF1A",8.08477146975247e-31,0.254042001185975,0.271,0.49,2.71147065552558e-26,"0","HIF1A"
"KRT7",2.57399020483421e-30,0.557425086823785,0.595,0.613,8.63264834897298e-26,"0","KRT7"
"PMEPA1",4.24009770205357e-29,0.255475557987844,0.192,0.355,1.42204396731472e-24,"0","PMEPA1"
"SLFN5",1.42409993786777e-27,0.266976737439214,0.143,0.275,4.77614637162093e-23,"0","SLFN5"
"RPL23A",4.03979517725382e-27,0.267359082864338,0.942,0.986,1.35486650654738e-22,"0","RPL23A"
"PABPC1",4.66728044066655e-26,0.320206283943352,0.813,0.941,1.56531251419075e-21,"0","PABPC1"
"SYNE2",2.79931699853685e-24,0.311385362030463,0.169,0.307,9.38834934969289e-20,"0","SYNE2"
"MSLN",4.28526452563515e-24,0.463934123307204,0.641,0.682,1.43719201660752e-19,"0","MSLN"
"MYH10",6.66735055367189e-24,0.294462110899622,0.224,0.394,2.23609602869048e-19,"0","MYH10"
"PTMA",1.40228331578559e-23,0.251291986201368,0.878,0.968,4.7029777844817e-19,"0","PTMA"
"EIF5B",1.10048673338791e-21,0.274082595099291,0.194,0.337,3.69081240643636e-17,"0","EIF5B"
"LAMB3",1.26381747139245e-21,0.284759394410603,0.157,0.28,4.23859103555602e-17,"0","LAMB3"
"CCNG1",3.04845421527974e-20,0.290667422483997,0.264,0.448,1.02239057472052e-15,"0","CCNG1"
"ZCRB1",1.2863317946837e-19,0.288540013724199,0.233,0.389,4.31409957301019e-15,"0","ZCRB1"
"DCBLD2",1.01655409276861e-18,0.300288653689278,0.207,0.348,3.40931911632738e-14,"0","DCBLD2"
"DUSP23",1.2384557255403e-18,0.280295623007224,0.294,0.481,4.15353281231707e-14,"0","DUSP23"
"DSG2",3.32491527956165e-18,0.272828453150996,0.186,0.315,1.11511008645939e-13,"0","DSG2"
"S100A2",1.17140899612667e-16,0.265685984140542,0.162,0.271,3.92867149120963e-12,"0","S100A2"
"S100A16",3.29407717230869e-16,0.262232796005864,0.335,0.542,1.10476760204889e-11,"0","S100A16"
"YBX3",3.81968095866868e-16,0.265077886715238,0.363,0.592,1.2810445999183e-11,"0","YBX3"
"CCT2",4.58866937250982e-16,0.27848707905844,0.333,0.52,1.53894793415234e-11,"0","CCT2"
"ADGRG1",4.65388398910294e-16,0.265529946669879,0.24,0.39,1.56081961226534e-11,"0","ADGRG1"
"RPS20",9.90918326379303e-15,0.305354448525743,0.92,0.983,3.32334188301091e-10,"0","RPS20"
"PTTG1IP",8.75329007990897e-14,0.260210583549124,0.432,0.684,2.93567842699987e-09,"0","PTTG1IP"
"EEF1B2",1.94224225638833e-12,0.288571945972179,0.734,0.908,6.51389207947517e-08,"0","EEF1B2"
"LAMC2",5.7447599029306e-12,0.315868816150264,0.161,0.254,1.92667757624487e-07,"0","LAMC2"
"HSP90AA1",2.4937320254406e-11,0.263994529293497,0.805,0.929,8.36347846692267e-07,"0","HSP90AA1"
"ERBB3",2.20824700070355e-10,0.255432027259643,0.17,0.262,7.40601879095957e-06,"0","ERBB3"
"PPA1",2.77474113463107e-10,0.283874874187336,0.373,0.573,9.30592681732568e-06,"0","PPA1"
"CLDN1",3.94409774254665e-10,0.344447265730216,0.218,0.328,1.3227715008953e-05,"0","CLDN1"
"MUC16",1.82161463309684e-09,0.39317278388019,0.492,0.534,6.10933115648019e-05,"0","MUC16"
"C4orf48",4.62255725439716e-09,0.267605929590172,0.444,0.674,0.000155031325197972,"0","C4orf48"
"PPP1R14B",7.65635453552e-09,0.283992587245345,0.421,0.641,0.00025677881841227,"0","PPP1R14B"
"SCARA3",5.7441200294079e-08,0.305912584205175,0.319,0.463,0.00192646297546282,"0","SCARA3"
"SLC34A2",6.23305054129495e-08,0.261288132555773,0.295,0.416,0.0020904404905395,"0","SLC34A2"
"TGM2",1.23273552517884e-07,0.273783376888471,0.392,0.552,0.0041343484043448,"0","TGM2"
"S100A1",1.25175931719805e-07,0.261042315456933,0.221,0.317,0.00419815039801883,"0","S100A1"
"ID4",1.37269199420527e-07,0.277835474389055,0.281,0.404,0.00460373441016564,"0","ID4"
"KRT17",2.14742715307942e-07,0.343116508533552,0.179,0.258,0.00720204118599775,"0","KRT17"
"MT-ND4L",2.71251132614341e-07,0.489427168564094,0.548,0.696,0.00909722048561978,"0","MT-ND4L"
"MUC1",4.84949633158276e-07,0.539724446771307,0.529,0.607,0.0162642407968622,"0","MUC1"
"C9orf16",6.62189097364865e-07,0.282800276517152,0.457,0.681,0.0222084979474228,"0","C9orf16"
"KLK10",7.32107427862984e-07,0.289768479233179,0.242,0.342,0.0245534189156688,"0","KLK10"
"KLK6",8.38672498371696e-06,0.582853298678982,0.359,0.393,0.281273982503899,"0","KLK6"
"PKM",9.20317165895786e-06,0.31525961399686,0.716,0.871,0.308655971098129,"0","PKM"
"HBA2",1.20140473776617e-05,0.459491129607672,0.274,0.273,0.40292712095202,"0","HBA2"
"NPM1",2.41661895910514e-05,0.257183070854226,0.66,0.856,0.810485666504682,"0","NPM1"
