"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PROK1",2.05033703998456e-284,1.38973405430442,0.543,0.016,6.8764203647002e-280,"stromal_5_patient1","PROK1"
"INHA",6.15869893866273e-168,1.13939432742276,0.517,0.029,2.06550445004871e-163,"stromal_5_patient1","INHA"
"WISP2",4.62714788460603e-100,2.57438041255514,0.871,0.195,1.55185285753917e-95,"stromal_5_patient1","WISP2"
"DLK1",2.8989677291054e-99,1.67903497953556,0.802,0.137,9.7225579698737e-95,"stromal_5_patient1","DLK1"
"WFIKKN2",1.76235445467275e-95,0.876724019807823,0.422,0.036,5.91058437008148e-91,"stromal_5_patient1","WFIKKN2"
"TNXB",1.49115198113265e-78,2.48713765818454,0.974,0.377,5.00102551432269e-74,"stromal_5_patient1","TNXB"
"CSDC2",1.35131214945891e-75,1.42615862322344,0.698,0.132,4.53203068685529e-71,"stromal_5_patient1","CSDC2"
"SPRR2F",4.92161871927284e-75,0.900411547505068,0.379,0.036,1.65061248606972e-70,"stromal_5_patient1","SPRR2F"
"NR1D1",6.37916425603237e-70,0.931485634850612,0.517,0.075,2.13944410818814e-65,"stromal_5_patient1","NR1D1"
"RPL18",5.10028401489459e-66,1.63673381777416,1,0.975,1.71053325291535e-61,"stromal_5_patient1","RPL18"
"SLC4A3",1.75783589908644e-64,1.14188165593993,0.595,0.109,5.89543003835611e-60,"stromal_5_patient1","SLC4A3"
"CD24",5.30169899464398e-64,1.8339684320032,0.983,0.421,1.7780838088237e-59,"stromal_5_patient1","CD24"
"AEBP1",2.64257563428464e-62,1.82980508360407,1,0.884,8.86267016226382e-58,"stromal_5_patient1","AEBP1"
"RPS15",4.36016579762769e-61,1.36853712868304,1,0.982,1.46231240520837e-56,"stromal_5_patient1","RPS15"
"RPL18A",4.81061687111294e-60,1.35522691538775,1,0.984,1.61338468623386e-55,"stromal_5_patient1","RPL18A"
"MMP23B",9.25379229323503e-60,1.63918229234534,0.845,0.29,3.10353685930516e-55,"stromal_5_patient1","MMP23B"
"RPS9",1.63931157648418e-58,1.30374537469764,1,0.977,5.49792316521264e-54,"stromal_5_patient1","RPS9"
"PODN",8.71213792298448e-58,1.49964297132061,0.836,0.269,2.92187681661053e-53,"stromal_5_patient1","PODN"
"RARRES2",2.3257335980115e-57,1.51750047745992,1,0.83,7.80004534101097e-53,"stromal_5_patient1","RARRES2"
"SFRP1",4.86645503665396e-57,1.26849332973349,0.655,0.149,1.632111690193e-52,"stromal_5_patient1","SFRP1"
"RPS20",9.81729685165937e-57,1.13172101063926,1,0.968,3.29252501810952e-52,"stromal_5_patient1","RPS20"
"RPS2",1.03044217931514e-55,1.09571160543264,1,0.988,3.45589698098711e-51,"stromal_5_patient1","RPS2"
"COLEC11",3.85850474426118e-53,1.17550583699038,0.629,0.145,1.29406532113031e-48,"stromal_5_patient1","COLEC11"
"LTBP4",1.07259068706817e-52,1.59646409807559,1,0.536,3.59725464628923e-48,"stromal_5_patient1","LTBP4"
"SELENOM",2.2983244625139e-52,1.49841667007957,1,0.664,7.70812058237911e-48,"stromal_5_patient1","SELENOM"
"LAMB2",4.86959800531098e-51,1.60450545522752,0.966,0.619,1.6331657790212e-46,"stromal_5_patient1","LAMB2"
"OBSL1",8.97083790518161e-51,1.47868986530913,0.871,0.352,3.00863961663981e-46,"stromal_5_patient1","OBSL1"
"RPL36",2.34995666724521e-50,1.21739307755161,1,0.987,7.88128467060697e-46,"stromal_5_patient1","RPL36"
"IGFBP4",2.92293027396205e-50,1.49214642015866,1,0.871,9.80292355281391e-46,"stromal_5_patient1","IGFBP4"
"RPL10",4.01771019270016e-49,0.986785734767593,1,0.996,1.34745964442778e-44,"stromal_5_patient1","RPL10"
"SIGLEC11",4.77247334365485e-49,0.912147255083482,0.5,0.093,1.60059210999496e-44,"stromal_5_patient1","SIGLEC11"
"PEG3",8.97129570776471e-49,1.14831542611782,0.81,0.236,3.00879315447013e-44,"stromal_5_patient1","PEG3"
"FAU",9.92460727824427e-48,1.0847261968725,1,0.973,3.32851478897756e-43,"stromal_5_patient1","FAU"
"RPS28",1.08027636092731e-47,0.935881172020001,1,0.995,3.62303085927803e-43,"stromal_5_patient1","RPS28"
"QSOX1",7.25525895971299e-47,1.45704226667572,0.931,0.515,2.43326874990854e-42,"stromal_5_patient1","QSOX1"
"EEF2",1.08865964245896e-46,1.04668923116691,1,0.943,3.65114670887887e-42,"stromal_5_patient1","EEF2"
"ENG",1.89630698841835e-46,1.46003198898454,0.983,0.659,6.35983437775746e-42,"stromal_5_patient1","ENG"
"NDRG2",2.28686842032796e-46,1.27414720698224,0.81,0.283,7.6696993080959e-42,"stromal_5_patient1","NDRG2"
"MYL9",3.01881549180644e-46,1.38130944330371,1,0.847,1.01245033964205e-41,"stromal_5_patient1","MYL9"
"C12orf57",4.12502053152994e-45,1.3129554413281,0.983,0.692,1.38344938586451e-40,"stromal_5_patient1","C12orf57"
"LTBP2",1.88577253189264e-44,1.39724858834593,0.871,0.375,6.32450391746155e-40,"stromal_5_patient1","LTBP2"
"TCF21",2.9801338519507e-44,1.09088316505295,0.707,0.199,9.99477291267225e-40,"stromal_5_patient1","TCF21"
"NBL1",2.10737458753093e-43,1.36262127748545,0.991,0.751,7.06771289166124e-39,"stromal_5_patient1","NBL1"
"RPL15",2.58462715335254e-43,0.847446648759039,1,0.98,8.66832254691376e-39,"stromal_5_patient1","RPL15"
"CLDN11",2.7215568245571e-43,1.21790271226507,0.724,0.231,9.1275572781996e-39,"stromal_5_patient1","CLDN11"
"RPLP1",3.04264030952319e-43,0.796928413763767,1,0.998,1.02044070700789e-38,"stromal_5_patient1","RPLP1"
"NOP53",3.33599167314837e-43,1.26198216706365,0.991,0.812,1.1188248873405e-38,"stromal_5_patient1","NOP53"
"WFS1",1.52349078572105e-42,1.27877370862388,0.759,0.271,5.10948339715127e-38,"stromal_5_patient1","WFS1"
"RPS3",2.39825566052742e-42,1.02259853119826,1,0.977,8.04326983427686e-38,"stromal_5_patient1","RPS3"
"RPS5",2.91935706674765e-42,1.0715833137802,0.991,0.948,9.79093973045827e-38,"stromal_5_patient1","RPS5"
"C1QTNF1",5.62187953745481e-42,1.24134070267452,0.733,0.252,1.88546595927159e-37,"stromal_5_patient1","C1QTNF1"
"FHL2",9.1786991095643e-42,1.21070523254307,0.819,0.3,3.07835210736568e-37,"stromal_5_patient1","FHL2"
"RPL8",1.85238887893638e-40,0.893020602287758,1,0.984,6.21254182217683e-36,"stromal_5_patient1","RPL8"
"RPS8",1.95927151443332e-40,0.880785117994992,1,0.986,6.57100480510645e-36,"stromal_5_patient1","RPS8"
"ECEL1",2.27604790350841e-40,0.894573492297236,0.655,0.17,7.63340945878649e-36,"stromal_5_patient1","ECEL1"
"KLHDC8A",4.80781797847338e-40,1.12395270289723,0.741,0.237,1.6124459936204e-35,"stromal_5_patient1","KLHDC8A"
"RPL3",5.23320053978352e-40,0.904128412100855,1,0.981,1.7551107970326e-35,"stromal_5_patient1","RPL3"
"OGN",7.88487739073121e-40,1.15143634389754,0.612,0.181,2.64443017930343e-35,"stromal_5_patient1","OGN"
"RPS11",1.26545933338016e-39,0.881660873980055,1,0.993,4.24409751229039e-35,"stromal_5_patient1","RPS11"
"C1QTNF4",2.25653329357254e-39,1.05443292918832,0.56,0.147,7.56796135998358e-35,"stromal_5_patient1","C1QTNF4"
"ADIRF",2.30809869669235e-39,1.32246792311263,0.966,0.498,7.74090140896681e-35,"stromal_5_patient1","ADIRF"
"PTMS",2.85333426892764e-39,1.21263216964564,0.991,0.743,9.56951247112953e-35,"stromal_5_patient1","PTMS"
"TCEAL4",3.15088288893918e-39,1.29975176314566,0.931,0.511,1.05674310329242e-34,"stromal_5_patient1","TCEAL4"
"PRELP",8.32593089996246e-39,1.23522046008882,0.853,0.375,2.79235070522941e-34,"stromal_5_patient1","PRELP"
"RPL35",8.96410471498379e-39,0.866531333953271,1,0.986,3.00638143931126e-34,"stromal_5_patient1","RPL35"
"MIR202HG",9.53560383717008e-39,0.575448692221472,0.319,0.048,3.1980508149101e-34,"stromal_5_patient1","MIR202HG"
"COL16A1",1.12440577209348e-38,1.30964566803004,0.966,0.573,3.7710320784471e-34,"stromal_5_patient1","COL16A1"
"LTBP3",1.94034454806479e-38,1.26367662143473,0.966,0.682,6.5075275452997e-34,"stromal_5_patient1","LTBP3"
"WNT2B",4.10861058103668e-38,0.685893286571701,0.31,0.047,1.37794581666808e-33,"stromal_5_patient1","WNT2B"
"LRP3",4.52676136403124e-38,1.24525916069804,0.828,0.359,1.5181852262688e-33,"stromal_5_patient1","LRP3"
"CIRBP",1.43552935892789e-37,1.05450905698684,1,0.793,4.81447836397236e-33,"stromal_5_patient1","CIRBP"
"TAGLN",1.59013958621905e-37,1.25583599656292,1,0.773,5.33301014426146e-33,"stromal_5_patient1","TAGLN"
"CAVIN1",2.20585125129426e-37,1.12848170309218,0.966,0.631,7.39798392659068e-33,"stromal_5_patient1","CAVIN1"
"RPSA",2.76695937675787e-37,0.881751244103716,1,0.961,9.27982835777055e-33,"stromal_5_patient1","RPSA"
"EMILIN1",3.00964468530767e-37,1.075796030345,0.991,0.755,1.00937463455849e-32,"stromal_5_patient1","EMILIN1"
"CCDC85B",3.27732094369568e-37,1.16529635201505,0.853,0.421,1.09914789809666e-32,"stromal_5_patient1","CCDC85B"
"MZT2B",1.10764093859244e-36,1.14774213937557,0.974,0.746,3.71480617985133e-32,"stromal_5_patient1","MZT2B"
"CD320",1.79140334296948e-36,0.90713339174672,0.647,0.203,6.00800853165106e-32,"stromal_5_patient1","CD320"
"AC110285.2",2.75192307466581e-36,0.508981063904148,0.267,0.037,9.22939960781421e-32,"stromal_5_patient1","AC110285.2"
"ARHGAP22",4.07966508510124e-36,0.845189751006677,0.448,0.105,1.36823807624125e-31,"stromal_5_patient1","ARHGAP22"
"VIM",5.03462685948086e-36,0.710609717044543,1,0.993,1.68851315613269e-31,"stromal_5_patient1","VIM"
"COL18A1",5.68302900460264e-36,1.24562134005567,0.974,0.727,1.90597426756363e-31,"stromal_5_patient1","COL18A1"
"GPX3",1.06249664612182e-35,1.30855441690775,0.957,0.613,3.56340125176334e-31,"stromal_5_patient1","GPX3"
"RPL28",1.31668200763529e-35,0.737190334911994,1,0.993,4.41588811720723e-31,"stromal_5_patient1","RPL28"
