"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COL1A2",0,1.68529393628497,0.999,0.892,0,"group1","COL1A2"
"COL16A1",0,1.45599057549153,0.854,0.429,0,"group1","COL16A1"
"MUC16",0,1.25963688271059,0.692,0.179,0,"group1","MUC16"
"COL6A2",0,1.24956242523806,0.953,0.877,0,"group1","COL6A2"
"SPARC",2.72834554392776e-293,1.98015777071211,0.976,0.877,9.15032528522492e-289,"group1","SPARC"
"COL6A1",7.07655822424229e-291,1.48195285474937,0.949,0.843,2.37333609724638e-286,"group1","COL6A1"
"SPON1",1.17894982654953e-288,1.07441255263593,0.732,0.304,3.95396192828183e-284,"group1","SPON1"
"PCOLCE",5.86799563220778e-280,1.20174675217619,0.812,0.523,1.96800837512985e-275,"group1","PCOLCE"
"COL12A1",4.74084910946213e-279,1.17297378823052,0.72,0.336,1.58998597433141e-274,"group1","COL12A1"
"COL1A1",3.09317049657473e-268,2.15066324338994,0.994,0.916,1.03738752114123e-263,"group1","COL1A1"
"HTRA1",7.00558550992488e-259,1.11708260125984,0.92,0.671,2.3495332683186e-254,"group1","HTRA1"
"IGHG4",7.58820153903228e-254,2.80602014833437,0.736,0.491,2.54493103216065e-249,"group1","IGHG4"
"COL14A1",9.12127361740986e-252,0.960098037230435,0.653,0.243,3.05909274580692e-247,"group1","COL14A1"
"CPXM1",3.47851115266563e-242,0.936219587737353,0.638,0.271,1.166623070381e-237,"group1","CPXM1"
"HLA-DQA2",2.34515660292509e-240,0.612451143300514,0.268,0.011,7.86518621489016e-236,"group1","HLA-DQA2"
"MSLN",2.89872750747627e-232,0.731313838743396,0.713,0.292,9.72175231457392e-228,"group1","MSLN"
"COL18A1",5.02188838441114e-221,0.842780657570966,0.909,0.634,1.68424092636381e-216,"group1","COL18A1"
"HTRA3",1.84112556118792e-219,0.925031364902462,0.577,0.219,6.17476690711205e-215,"group1","HTRA3"
"PAX8",2.85724756229621e-216,0.93991816705472,0.577,0.215,9.58263687442902e-212,"group1","PAX8"
"KLK11",1.42992275281783e-210,0.609472084768724,0.344,0.052,4.79567492840043e-206,"group1","KLK11"
"KLK10",3.27231231814724e-204,0.724099905730947,0.444,0.112,1.09746810526022e-199,"group1","KLK10"
"MEG3",1.41814937938315e-202,0.966103281941902,0.749,0.419,4.7561893885752e-198,"group1","MEG3"
"CHPF",2.005597018972e-202,0.872573457682619,0.717,0.399,6.72637128222829e-198,"group1","CHPF"
"SLC40A1",3.14171296068633e-197,0.827664176221234,0.804,0.476,1.05366769275498e-192,"group1","SLC40A1"
"KRT19",2.8485790863615e-196,0.589858901699095,0.724,0.345,9.55356453983919e-192,"group1","KRT19"
"MMP2",1.37707215703425e-191,1.30507574668698,0.812,0.665,4.61842460026145e-187,"group1","MMP2"
"ASPN",2.06385356022258e-191,0.669068173214621,0.264,0.027,6.92175207027449e-187,"group1","ASPN"
"MRC2",6.1743983261955e-188,0.830651011416044,0.799,0.516,2.07076971063945e-183,"group1","MRC2"
"ECEL1",2.14201539247131e-187,1.36065115311531,0.353,0.083,7.18389122327029e-183,"group1","ECEL1"
"S100A13",1.37424358608808e-185,0.678934002036958,0.828,0.544,4.60893813902221e-181,"group1","S100A13"
"WT1",3.87363195492131e-181,0.748785364364287,0.532,0.204,1.29913868504151e-176,"group1","WT1"
"RAPGEF3",3.38098817231617e-179,0.809185435359169,0.53,0.204,1.1339158132314e-174,"group1","RAPGEF3"
"KLK7",4.11114852038871e-177,0.577419216691161,0.341,0.069,1.37879699076796e-172,"group1","KLK7"
"KRT8",3.17540214922096e-170,0.67656109986217,0.779,0.47,1.06496637280572e-165,"group1","KRT8"
"COL6A3",2.76746875158101e-166,1.14314300153113,0.795,0.597,9.28153669905238e-162,"group1","COL6A3"
"COL3A1",4.93278827368845e-166,2.54273526117163,0.943,0.842,1.65435853122963e-161,"group1","COL3A1"
"OLFML3",9.57125470397097e-163,0.746753608748726,0.653,0.333,3.21000740261778e-158,"group1","OLFML3"
"CLDN3",5.44533793945486e-162,0.666995436873425,0.537,0.21,1.82625743813437e-157,"group1","CLDN3"
"MMP11",6.91169483493925e-161,0.824613833142649,0.466,0.175,2.31804421374193e-156,"group1","MMP11"
"PEG3",4.92314942281659e-160,1.14037901187866,0.42,0.151,1.65112585342423e-155,"group1","PEG3"
"ASS1",1.03618556845512e-159,0.617597999075084,0.652,0.318,3.47515915948479e-155,"group1","ASS1"
"SLPI",3.17978240081847e-159,0.617615121211072,0.884,0.642,1.0664354215865e-154,"group1","SLPI"
"THY1",6.7938319881577e-155,0.944810941178432,0.635,0.376,2.27851537218833e-150,"group1","THY1"
"DEFB1",2.18096985864007e-154,0.508099036636131,0.287,0.053,7.31453671190708e-150,"group1","DEFB1"
"COL5A2",3.90354016841559e-154,1.2009832003506,0.609,0.372,1.30916930168322e-149,"group1","COL5A2"
"DCN",9.54264866215192e-153,0.619374254748741,0.993,0.842,3.20041350831251e-148,"group1","DCN"
"CXCL14",1.36137856776733e-152,0.854957840220857,0.389,0.123,4.56579144057808e-148,"group1","CXCL14"
"C1R",4.81537281385558e-151,0.605700820091154,0.931,0.762,1.61497973431089e-146,"group1","C1R"
